,pool,start_time,end_time,best_b,best_b_rebase_time,best_b_mean_stopping_index,best_b_mean_stopping_time,best_b_fee_wealth_mean,best_b_IL_mean,best_b_pnl_mean,bset_b_pnl_IL_mean,best_b_fee_wealth_apr,best_b_IL_mean_apr,best_b_pnl_apr,best_b_pnl_IL_apr,best_b_effective_tx_ratio,optimum,optimum_rebase_time,optimum_mean_stopping_index,optimum_mean_stopping_time,optimum_fee_wealth_mean,optimum_IL_mean,optimum_pnl_mean,optimum_pnl_IL_mean,optimum_fee_wealth_apr,optimum_IL_mean_apr,optimum_pnl_apr,optimum_pnl_IL_apr,optimum_effective_tx_ratio
10,LINK_WETH_3000_0815,2021-05-05 23:16:59,2021-08-12 15:14:15,0.25,3.0,10038.333333333334,32 days 21:19:05.333333333,8.889773746687538,-14.208085838787884,14.498872484287498,-5.318312092100362,0.4933018340176724,-0.7884199307958982,0.8045559528837782,-0.2951180967782267,0.06505063921633737,optimum,13.0,2316.538461538461,7 days 14:09:01.230769230,2.0547395837573466,-6.918657000541281,0.20415340197256066,-4.863917416783935,0.4940841331370823,-1.6636651542645997,0.04909087138728671,-1.1695810211275175,0.04735181803088162
11,LQTY_WETH_3000_0815,2021-05-05 20:44:51,2021-08-11 02:44:53,1.35,2.0,7077.5,48 days 15:00:01,12.985605588143525,44.69580352578363,185.31159716817487,57.68140911392725,0.487377368790132,1.6775284733926237,6.955137981133922,2.1649058421827587,0.01165665842458495,optimum,445.0,31.808988764044948,0 days 05:14:41.802247191,0.5631048810960505,-3.5972196413811792,-1.6952718126530455,-3.0341147602851257,4.702431287481279,-30.04001342813379,-14.157041574720411,-25.33758214065249,0.20423878488166725
12,MKR_WETH_3000_0815,2021-05-06 00:59:25,2021-08-11 22:25:10,1.0,1.0,8452.0,97 days 21:25:45,3.376289832270509,-18.07169829500802,26.22696576208773,-14.69540846273759,0.06294358508507845,-0.33690753334963336,0.4889447686602353,-0.2739639482645564,0.008282063416942735,optimum,7.0,1207.4285714285713,13 days 23:37:57.857142857,3.0984884070475123,-7.709985005021343,0.9530956408862484,-4.611496597973858,0.4043520694640085,-1.0061513818241143,0.12437877576463385,-0.6017993123601096,0.08175579744439186
13,MKR_WETH_500_0815,2021-05-06 17:40:07,2021-08-09 12:59:42,0.2,4.0,177.25,23 days 16:49:53.750000,0.7729743394491502,8.174967918365686,22.401553623458963,8.94794225781483,0.05951897931339131,0.6294720556539943,1.7249183299573059,0.6889910349673851,0.06346967559943582,optimum,7.0,101.28571428571428,13 days 13:02:47.857142857,0.7078927802451327,-0.2682100183127269,7.243620829005133,0.4396827619323988,0.09538848030024603,-0.03614127274937423,0.9760771716173452,0.059247207550870866,0.09449929478138223
14,POOL_WETH_3000_0815,2021-05-05 21:29:53,2021-08-11 01:17:52,1.0,1.0,1079.0,97 days 03:47:59,1.0448671321815557,-0.4824417575528912,0.0818749593731809,0.5624253746286456,0.01962654852104433,-0.00906207714986718,0.0015379207683958904,0.0105644713711768,0.007414272474513438,optimum,52.0,20.75,1 days 20:50:32.288461538,0.4793685776083604,-5.2047829819408795,-3.7446951236888313,-4.725414404332508,0.4682262640122034,-5.083804413687486,-3.657654442803341,-4.61557814967527,0.2252085264133457
15,RAI_DAI_500_0815,2021-05-05 20:05:07,2021-08-12 03:26:00,1.0,1.0,5718.0,98 days 07:20:53,19.43890455422324,-10.71202321003264,8.635613588146581,8.726881344190616,0.3608725798087019,-0.1988628237765243,0.16031542030018808,0.16200975603217802,0.6736621196222455,optimum,3.0,1906.0,32 days 18:26:57.666666666,7.5128103900095855,-6.868049428625842,0.9754587276102789,0.6447609613837338,0.4184135879921321,-0.382504689291777,0.05432656555533484,0.035908898700354436,0.7917103882476391
16,RAI_WETH_3000_0815,2021-05-05 23:43:02,2021-08-11 22:50:02,1.0,1.0,1420.0,97 days 23:07:00,0.7259189768029839,-8.402596930533633,-23.381444246679678,-7.676677953730604,0.0135234680757246,-0.15653572226986034,-0.4355833432360099,-0.1430122541941349,0.004929577464788733,optimum,37.0,38.37837837837838,2 days 15:32:37.297297297,0.7339891256415141,-5.561476921120047,-4.57731023122312,-4.827487795478536,0.5059309875511521,-3.8334675714520734,-3.1550918190874686,-3.3275365839009234,0.17746478873239438
17,RAI_WETH_500_0815,2021-05-16 21:06:21,2021-08-10 17:13:46,0.05,1.0,1.0,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,optimum,1.0,1.0,85 days 20:07:25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,SOCKS_WETH_3000_0815,2021-05-06 17:36:35,2021-07-26 18:48:43,0.15,3.0,8.333333333333334,27 days 00:24:02.666666666,0.12959788140597184,-2.0444075564226503,-12.76074150368491,-1.9148096750166512,0.00875444281432621,-0.13810140140958935,-0.8619985184206942,-0.12934695859526132,0.12,optimum,3.0,8.333333333333334,27 days 00:24:02.666666666,0.2521739211932834,-2.422638691636062,-13.2406041767593,-2.170464770442758,0.017034554488089618,-0.16365122373616728,-0.8944136341971618,-0.1466166692480763,0.36
19,UNI_WETH_3000_0815,2021-05-05 18:08:16,2021-08-10 07:51:08,0.25,2.0,13587.5,48 days 06:51:26,6.736329275127722,-9.754088670776326,11.48192893414202,-3.017759395648625,0.2546053272074403,-0.3686641249564373,0.43396932570437297,-0.11405879774899776,0.0584360625574977,optimum,2.0,13587.5,48 days 06:51:26,6.78062577051214,-13.183539916914198,9.577274679932344,-6.4029141464020976,0.2562795511417029,-0.4982831683557584,0.3619812889258557,-0.24200361721405686,0.08007359705611776
20,USDC_USDT_500_0815,2021-05-05 17:52:33,2021-08-10 20:53:17,0.05,1.0,90753.0,97 days 03:00:44,1.562991054634363,-0.01299760144374318,1.5807810482435514,1.5499934531906945,0.0293687898932255,-0.00024422649431379893,0.02970306601269587,0.0291245633989131,0.2041475212940619,optimum,1.0,90753.0,97 days 03:00:44,1.562991054634363,-0.01299760144374318,1.5807810482435514,1.5499934531906945,0.0293687898932255,-0.00024422649431379893,0.02970306601269587,0.0291245633989131,0.2041475212940619
21,USDC_WETH_10000_0815,2021-05-05 01:22:32,2021-08-10 13:47:23,1.0,1.0,9307.0,97 days 12:24:51,2.9294384652970367,-5.712677463309177,-12.64872802851201,-2.7832389980120524,0.05482337554072954,-0.10691068121900447,-0.23671634514068965,-0.052087305678273285,0.008165896636939937,optimum,1.0,9307.0,97 days 12:24:51,2.9294384652970367,-5.712677463309177,-12.64872802851201,-2.7832389980120524,0.05482337554072954,-0.10691068121900447,-0.23671634514068965,-0.052087305678273285,0.008165896636939937
22,USDC_WETH_3000_0815,2021-05-05 09:50:51,2021-08-11 09:45:00,0.4,2.0,56235.5,48 days 23:57:04.500000,31.026492594079762,-27.092512142137426,7.396293962358527,3.933980451942404,1.1556264561313183,-1.0090996814924251,0.2754856339081264,0.14652677463889535,0.028754078829209308,optimum,17.0,6615.941176470588,5 days 18:20:49.941176470,4.766230914696993,-10.119618460319655,-3.6121477989780266,-5.35338754562266,1.5089637172813863,-3.2038181453329915,-1.1435870539357145,-1.6948544280516042,0.03770749793280045
23,WBTC_WETH_3000_0815,2021-05-04 21:22:07,2021-08-10 14:46:22,1.0,1.0,37207.0,97 days 17:24:15,19.824215121335467,-16.467337303086396,18.42262569053736,3.3568778182490746,0.3702136436248168,-0.3075245555226697,0.3440392136730676,0.06268908810214707,0.09361141720643963,optimum,1.0,37207.0,97 days 17:24:15,19.824215121335467,-16.467337303086396,18.42262569053736,3.3568778182490746,0.3702136436248168,-0.3075245555226697,0.3440392136730676,0.06268908810214707,0.09361141720643963
24,WETH_USDT_3000_0815,2021-05-05 17:54:39,2021-08-12 04:26:24,1.0,1.0,86143.0,98 days 10:31:45,14.061536030256416,-9.29394636967024,12.826826553934383,4.767589660586225,0.2606931955867485,-0.1723046880161507,0.2378023564699523,0.08838850757059863,0.021917044913690027,optimum,15.0,5742.866666666668,6 days 13:30:07,3.041431759733132,-9.621420990712894,-4.049313673961761,-6.579989230979741,0.8457972474320782,-2.6756383286548653,-1.126080948048773,-1.8298410812227819,0.05400322719199471
25,YFI_WETH_3000_0815,2021-05-06 01:24:41,2021-08-11 05:49:08,0.4,3.0,1924.0,32 days 09:28:09,2.4015864238144045,-2.279420833352769,13.617633811238733,0.12216559046162465,0.1352973080772604,-0.1284149092740243,0.7671717239790946,0.00688239880323549,0.014033264033264034,optimum,25.0,230.88,3 days 21:17:46.680000,1.193332976374902,-6.2125135096035935,-3.6292559200338497,-5.019180533228677,0.5602364120036991,-2.916601105516911,-1.7038340137549148,-2.3563646935132057,0.13721413721413722
26,fish_WETH_10000_0815,2021-05-07 00:08:26,2021-08-12 18:26:59,0.4,5.0,31.6,19 days 13:15:42.600000,0.26682876295739794,3.0279554602186067,7.207863648005422,3.2947842231760265,0.024905285253046076,0.2826235583991489,0.6727681762228073,0.3075288436521969,0.05063291139240506,optimum,35.0,4.514285714285714,2 days 19:02:14.657142857,0.1648706057133388,-4.15715210077556,-3.5415777824079093,-3.9922814950622203,0.1077209440892303,-2.7161442579806105,-2.3139485697635025,-2.6084233138913797,0.2468354430379747
